;Australia;Austria;Belgium;Canada;France;Germany;Italy;Japan;Korea;Mexico;Netherlands;Norway;Spain;Sweden;Switzerland;United Kingdom;United States
Q4-1980;1.7;0.1;-0.2;1.4;-0.1;-0.1;0.9;2.1;-2.8;2.9;2.3;2.2;0.6;-2;0.4;-1.1;1.9
Q1-1981;0.4;-0.7;0;2.2;0.4;1.2;-0.6;0.6;4.1;2.2;-1;1.7;-0.6;0.6;0.2;-0.1;2
Q2-1981;1.6;1;1.5;1.1;0.5;-0.2;0.2;1.2;2.4;2.6;0;0.4;-0.1;-0.1;0.7;0.2;-0.7
Q3-1981;2;-0.1;-0.4;-0.9;0.7;0.3;0;-0.2;4.2;0.5;-0.9;-1.2;0.4;0.8;0.3;1.1;1.2
Q4-1981;-0.4;-0.6;0.3;-0.5;0.5;-0.1;0.8;0.7;1.6;1.8;0.1;0;-0.1;-1.1;-0.2;0.1;-1.1
Q1-1982;-0.8;2;0.1;-1.2;0.9;0.4;0;1.5;0.7;-1.9;0.9;0.7;0.4;0.3;-0.3;0.2;-1.6
Q2-1982;0.9;0.3;0.3;-1.2;0.7;-0.6;-0.3;0.7;2.3;0.2;-2.4;0;0.4;2.1;-1.2;1.1;0.5
Q3-1982;-0.7;-0.1;0.1;-0.9;0;-1;-0.1;0.4;2.1;-0.7;1.1;0;0.7;-1.2;-0.5;0.3;-0.4
Q4-1982;-1.6;-0.2;-0.6;-0.9;0.6;0.2;-0.3;1.4;3.1;-2.2;-2.1;0.3;0.4;1.9;-0.1;0.7;0
Q1-1983;-1;1.2;0;1.7;0.5;0.9;0.3;0.1;4.4;-0.7;0.8;1.9;0.4;-1.1;0.2;1.8;1.3
Q2-1983;-0.2;1.3;0;2;0;1.1;-0.1;0.8;3.1;-2;2.7;1.1;0.6;0.8;0.9;0.9;2.3
Q3-1983;2.8;0.8;0.8;1.1;0.2;-0.2;1.9;1.5;3.7;0.8;1.5;1.4;0.1;1.1;0.4;1.1;2
Q4-1983;1.7;1;1.1;1.3;0.4;1.4;2.2;0.8;0.7;1.2;-0.7;0;0.6;2;0.7;0.9;2.1
Q1-1984;2.5;-1.3;0.4;1.7;0.7;1.3;-0.2;1.2;4.4;2.8;1.7;2.7;0.8;2.3;0.6;0.7;2
Q2-1984;1.1;-0.7;0.2;2;0.3;-1.6;0.3;1.5;2.5;-1.5;-0.1;0.6;-0.3;-1.5;0.6;-0.9;1.7
Q3-1984;0.8;0.9;0.3;0.4;0.5;2.7;1.2;1.2;1.4;2.4;1.1;2.9;0.9;1.3;1.5;0.6;1
Q4-1984;0.7;1;0.6;1.6;0.3;0.8;0;0.2;0.5;-0.9;0.2;2.1;0.1;0.9;1;2;0.8
Q1-1985;1.5;0.5;0.4;1.5;0.2;-0.5;0.6;2.5;2.8;1.8;0.4;2;1.1;0.1;0.7;0.8;1
Q2-1985;2.2;0.2;0.4;0.3;0.7;1;1.3;2;2.4;-0.1;2;-1.4;-0.1;1.1;0.9;2.1;0.9
Q3-1985;1.4;1.5;0.7;1.3;0.7;1.3;0.8;1.3;1.1;0.6;-1;2.9;1;1.1;0.5;0.1;1.5
Q4-1985;-0.3;-0.4;0.5;1.5;0.3;0.6;0.7;1.3;3;-0.3;2.4;1;1.1;-1;1;0.2;0.7
